name,name,url
test studio 1,test room 1,https://dance-studio-lab.com/room/MzVhODQxMTktOTlhMC00NTZkLWFkNjktYmQ3YzNhYmZlYTNk/detail
スタジオピアーチェ春日後楽園店,春日後楽園スタジオ,https://dance-studio-lab.com/room/MGRlMzFmOGEtODQ5Ni00YjlkLTliNzktNWRmYmI0NzkwM2Q0/detail
【TEST】ダンススタジオラボ,あ,https://dance-studio-lab.com/room/NzhlZDJjNDItYTc1NC00NmY3LTk3M2EtZDhiNzNjYzIyZDZk/detail
スタジオピアーチェ池袋店,池袋スタジオ,https://dance-studio-lab.com/room/YjA4YWEyZDUtYmFmZS00NDQ3LWJjOWYtMzU2MDlmMDc1MTJi/detail
BUZZ竹ノ塚,2st,https://dance-studio-lab.com/room/Zjk4YThkNDItZDI4OC00MTRlLTg2NDgtYTgxZDUyYjgxMjQ2/detail
レンタルスタジオAivic池袋東口1号店,レンタルスタジオAivic池袋東口1号店,https://dance-studio-lab.com/room/ZTU1MDVkNDQtZjUzNi00MWRiLWFhMDctZTk3YTg1YjRjNDUx/detail
【TEST】ダンススタジオラボ,503,https://dance-studio-lab.com/room/MDRlYjc3NGEtODdiMS00MDU0LWE5ZWQtMDBlMTE0ZGE4NzVm/detail
【TEST】ダンススタジオラボ,709,https://dance-studio-lab.com/room/YjBhN2MzOTYtNjY4Yy00MWJiLTk0Y2YtNTkwZmEwNmMxYTU5/detail
THビル,TH2C,https://dance-studio-lab.com/room/ZGYxYjYyNDgtMDEzOC00MjZhLTgyZDctODZlMDViYTQ0NDgy/detail
【TEST】ダンススタジオラボ,ルーム１０２,https://dance-studio-lab.com/room/OWZlZDUwNWUtZTIzYi00ZjFhLTgzOTctMDEyNmIzNjJmMzY4/detail
なかすた,なかすた　B1階,https://dance-studio-lab.com/room/ODE4NDI3NmEtODY2YS00ZTg2LTgyMzctNzMzNmYwYjNmNDgx/detail
スタジオ五軒町／『鏡張り』の多目的に利用できる『防音』スタジオ,スタジオ五軒町,https://dance-studio-lab.com/room/ODZiZjA3NDItNjk4ZS00YjMxLWFjMGQtMGU5ZjVkZDg5OWQw/detail
SPICYCANDY DANCESTUDIO,SPICYCANDY　DANCESYUDIO,https://dance-studio-lab.com/room/NGFjMTNkYTgtNmQ4My00ZTgxLWI3ZmYtMjM4OGVjNDM4Yjk3/detail
スタジオピアーチェ江戸川橋店,江戸川橋スタジオ,https://dance-studio-lab.com/room/NWM3NGU4NjAtNTU5MS00NzUyLTg5ZTQtZWM3NGYwZTliOGZj/detail
BUZZ渋谷宮下PARK,Ast,https://dance-studio-lab.com/room/YmNlM2RmNGMtNGI0Mi00ZTg4LTk4OTYtNjY4NWRiM2JmNzhm/detail
