studio_title,api_status,google_name,match_confidence,website_uri,url_accessible,google_address,query_used
Dance zone RESPECT,OK,Dance zone RESPECT,1.0,https://hamamatsu.mypl.net/shop/00000362882/,False,〒435-0008 静岡県浜松市中央区松小池町４５５−１,Dance zone RESPECT 静岡県浜松市中央区松小池町４５５-１
蒲田・矢口渡レンタルスタジオ momobana,OK,蒲田・矢口渡レンタルスタジオ momobana,1.0,,False,〒146-0095 東京都大田区多摩川１丁目１８−１ マーシュウェル多摩川 2階,蒲田・矢口渡レンタルスタジオ momobana 東京都大田区多摩川
EXスタジオ麹町,OK,EXスタジオ麹町,1.0,https://exstudio.pro/,False,〒102-0083 東京都千代田区麹町２丁目２−４ 5階,EXスタジオ麹町 東京都千代田区麹町
FACTORYカレッタスタジオ,OK,FACTORYカレッタスタジオ,1.0,https://www.factory-studio.jp/caretta/,True,〒105-7001 東京都港区東新橋１丁目８−１ B2 カレッタスタジオ,FACTORYカレッタスタジオ 東京都港区東新橋
FANTASY DANCE SCHOOL 八王子店,OK,FANTASY DANCE SCHOOL 八王子店,1.0,https://www.dance-hachioji.com/,False,〒192-0904 東京都八王子市子安町１丁目２６−１４,FANTASY DANCE SCHOOL 八王子店 東京都八王子市子安町
FunnyTips（ファニーティップス）,OK,FunnyTips（ファニーティップス）,1.0,https://infofunnytips.wixsite.com/funnytips,True,〒101-0021 東京都千代田区外神田５丁目５−７ パンセ秋葉原 B1F,FunnyTips（ファニーティップス） 東京都千代田区外神田
スタジオLINOVA（リノ・バ）,OK,スタジオLINOVA（リノ・バ）,1.0,https://www.linova.jp/,False,〒167-0054 東京都杉並区松庵３丁目１−６ 松庵ユニオンビル B1,スタジオLINOVA（リノ・バ） 東京都杉並区松庵
HuE スタジオ,OK,HUE DANCE STUDIO,0.286,https://hue-studio.net/,False,〒676-0078 兵庫県高砂市伊保２丁目５−１８ ロイヤルコーポ 伊保 103,HuE スタジオ 兵庫県高砂市伊保
トゥモローダンスクラブ｜蔵前教室,OK,Tomorrow Dance Club｜蔵前教室,0.263,https://lin.ee/I6f66Rl,False,〒111-0051 東京都台東区蔵前４丁目３３−３３ エニックス蔵前 2F,トゥモローダンスクラブ｜蔵前教室 東京都台東区蔵前
JOINT STUDO Harajuku,OK,JOINT HARAJUKU Bar&Gallery,0.619,https://joint-harajuku.com/,True,〒150-0001 東京都渋谷区神宮前４丁目２９−９ 2F,JOINT STUDO Harajuku 東京都渋谷区神宮前
