station_id,station_group_id,station_name,area,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1130206,1130206,原宿,原宿,東京都,渋谷区,渋谷区,東京都渋谷区神宮前一丁目18,35.669405,139.703985,JR山手線|東京メトロ副都心線|東京メトロ千代田線,JR東日本|東京メトロ,3,A,60,駅データ.jp
1130207,1130207,代々木,新宿,東京都,渋谷区,渋谷区,東京都渋谷区代々木一丁目34-1,35.683113,139.701917,JR中央・総武線|JR山手線|都営大江戸線,JR東日本|東京都交通局,3,C,24,駅データ.jp
1130208,1130208,新宿,新宿,東京都,新宿区,新宿区,東京都新宿区新宿三丁目38-1,35.689846,139.699973,JR中央・総武線|JR中央本線(東京～塩尻)|JR中央線(快速)|JR埼京線|JR山手線|JR成田エクスプレス|JR湘南新宿ライン|京王新線|京王線|小田急線|東京メトロ丸ノ内線|相鉄・JR直通線|都営大江戸線|都営新宿線,JR東日本|京王電鉄|小田急電鉄|東京メトロ|東京都交通局|相模鉄道,14,S,80,駅データ.jp
1130210,1130210,高田馬場,高田馬場,東京都,新宿区,新宿区,東京都新宿区高田馬場一丁目35-1,35.712897,139.704058,JR山手線|東京メトロ東西線|西武新宿線,JR東日本|東京メトロ|西武鉄道,3,A,60,駅データ.jp
1130212,1130212,池袋,池袋,東京都,豊島区,豊島区,東京都豊島区南池袋一丁目28-2,35.730263,139.710608,JR埼京線|JR山手線|JR湘南新宿ライン|東京メトロ丸ノ内線|東京メトロ副都心線|東京メトロ有楽町線|東武東上線|西武池袋線,JR東日本|東京メトロ|東武鉄道|西武鉄道,8,S,80,駅データ.jp
1130217,1130217,西日暮里,日暮里,東京都,荒川区,荒川区,東京都荒川区西日暮里五丁目22-1,35.73203,139.76677,JR京浜東北線|JR山手線|日暮里・舎人ライナー|東京メトロ千代田線,JR東日本|東京メトロ|東京都交通局,4,C,30,駅データ.jp
1130218,1130218,日暮里,日暮里,東京都,荒川区,荒川区,東京都荒川区西日暮里二丁目19-1,35.727908,139.771287,JR京浜東北線|JR山手線|JR常磐線(上野～取手)|京成本線|成田スカイアクセス|日暮里・舎人ライナー,JR東日本|京成電鉄|東京都交通局,6,C,35,駅データ.jp
1130220,1130220,上野,上野,東京都,台東区,台東区,東京都台東区上野七丁目1-1,35.713213,139.777063,JR京浜東北線|JR山手線|JR常磐線(上野～取手)|JR高崎線|上野東京ライン|宇都宮線|東京メトロ日比谷線|東京メトロ銀座線,JR東日本|東京メトロ,8,S,80,駅データ.jp
1130221,1130221,御徒町,秋葉原,東京都,台東区,台東区,東京都台東区上野五丁目27,35.707357,139.77456,JR京浜東北線|JR山手線|東京メトロ日比谷線|東京メトロ銀座線|都営大江戸線,JR東日本|東京メトロ|東京都交通局,5,C,35,駅データ.jp
1130222,1130222,秋葉原,秋葉原,東京都,千代田区,千代田区,東京都千代田区外神田一丁目17,35.698582,139.773919,JR中央・総武線|JR京浜東北線|JR山手線|つくばエクスプレス|東京メトロ日比谷線,JR東日本|東京メトロ|首都圏新都市鉄道,5,S,80,駅データ.jp
1130223,1130223,神田,秋葉原,東京都,千代田区,千代田区,東京都千代田区鍛冶町二丁目13-1,35.691777,139.770706,JR中央線(快速)|JR京浜東北線|JR山手線|東京メトロ銀座線,JR東日本|東京メトロ,4,C,30,駅データ.jp
1130225,1130225,有楽町,銀座,東京都,千代田区,千代田区,東京都千代田区有楽町二丁目9,35.675244,139.761629,JR京浜東北線|JR山手線|東京メトロ千代田線|東京メトロ日比谷線|東京メトロ有楽町線|都営三田線,JR東日本|東京メトロ|東京都交通局,6,A,60,駅データ.jp
1130227,1130227,浜松町,浜松町,東京都,港区,港区,東京都港区海岸一丁目3-1,35.655483,139.757006,JR京浜東北線|JR山手線|東京モノレール,JR東日本|東京モノレール,3,C,24,駅データ.jp
