station_id,station_group_id,station_name,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1140429,1140429,三条,新潟県,三条市,三条市,三条市南新保,37.620962,138.960593,JR信越本線(直江津～新潟),JR東日本,1,D,13,駅データ.jp
1140430,1140430,東三条,新潟県,三条市,三条市,三条市東三条１丁目,37.628491,138.973703,JR信越本線(直江津～新潟)|JR弥彦線,JR東日本,2,C,23,駅データ.jp
1140431,1140431,保内,新潟県,三条市,三条市,三条市大字上保内,37.639322,139.014608,JR信越本線(直江津～新潟),JR東日本,1,D,5,駅データ.jp
1140432,1140432,加茂,新潟県,加茂市,加茂市,加茂市加茂駅前,37.658806,139.048959,JR信越本線(直江津～新潟),JR東日本,1,D,13,駅データ.jp
1140433,1140433,羽生田,新潟県,,,南蒲原郡田上町羽生田字根廻,37.693613,139.060715,JR信越本線(直江津～新潟),JR東日本,1,D,5,駅データ.jp
1140434,1140434,田上,新潟県,,,南蒲原郡田上町田上,37.719035,139.074599,JR信越本線(直江津～新潟),JR東日本,1,D,5,駅データ.jp
1140435,1140435,矢代田,新潟県,新潟市,新潟市秋葉区,新潟市秋葉区矢代田,37.748863,139.095654,JR信越本線(直江津～新潟),JR東日本,1,D,5,駅データ.jp
1140436,1140436,古津,新潟県,新潟市,新潟市秋葉区,新潟市秋葉区朝日,37.7727,139.114252,JR信越本線(直江津～新潟),JR東日本,1,D,5,駅データ.jp
1140438,1140438,さつき野,新潟県,新潟市,新潟市秋葉区,新潟市秋葉区北上,37.812731,139.117466,JR信越本線(直江津～新潟),JR東日本,1,D,5,駅データ.jp
1140439,1140439,荻川,新潟県,新潟市,新潟市秋葉区,新潟市秋葉区中野３丁目,37.833307,139.111477,JR信越本線(直江津～新潟),JR東日本,1,D,5,駅データ.jp
1140440,1140440,亀田,新潟県,新潟市,新潟市江南区,新潟市江南区東船場１丁目,37.877154,139.108065,JR信越本線(直江津～新潟),JR東日本,1,D,5,駅データ.jp
1140441,1140441,越後石山,新潟県,新潟市,新潟市東区,新潟市東区石山,37.896407,139.095429,JR信越本線(直江津～新潟),JR東日本,1,D,5,駅データ.jp
1140442,1140442,新潟,新潟県,新潟市,新潟市中央区,新潟市中央区花園１丁目,37.912299,139.060869,JR信越本線(直江津～新潟)|JR白新線|JR越後線,JR東日本,3,B,49,駅データ.jp
1140501,1140501,富山,富山県,富山市,富山市,富山市明輪町,36.701065,137.213307,JR高山本線|あいの風とやま鉄道線|富山地鉄不二越・上滝線|富山地鉄富山都心線【３系統(環状線)】|富山地鉄市内線【１・２系統】|富山地鉄本線|富山港線,JR東海|あいの風とやま鉄道|富山地方鉄道,7,A,68,駅データ.jp
1140502,1140502,東富山,富山県,富山市,富山市,富山市米田,36.741589,137.248953,あいの風とやま鉄道線,あいの風とやま鉄道,1,D,13,駅データ.jp
1140503,1140503,水橋,富山県,富山市,富山市,富山市水橋伊勢屋,36.743454,137.298404,あいの風とやま鉄道線,あいの風とやま鉄道,1,D,5,駅データ.jp
